ענף ספורט,קטגוריה,שם מוצר,תכונה 1,תכונה 2,"מק""ט",מחיר רגיל (₪),מחיר מבצע (₪),מלאי,URL מוצר
קייט סרפינג,קייט סרפינג,אימפקט ווסט קייט אוניל  SLASHER,small,שחור,11BVEST02S,490,,נשארו במלאי רק 2,https://yamitysb.co.il/product/%d7%90%d7%a4%d7%95%d7%93%d7%94-oneill-slasher-kite/
קייט סרפינג,קייט סרפינג,אימפקט ווסט קייט אוניל  SLASHER,large,שחור,11BVEST04L,490,,אזל,https://yamitysb.co.il/product/%d7%90%d7%a4%d7%95%d7%93%d7%94-oneill-slasher-kite/
קייט סרפינג,קייט סרפינג,אימפקט ווסט קייט אוניל  SLASHER,medium,שחור,11BVEST03M,490,,נשארו במלאי רק 2,https://yamitysb.co.il/product/%d7%90%d7%a4%d7%95%d7%93%d7%94-oneill-slasher-kite/
קייט סרפינג,קייט סרפינג,אימפקט ווסט קייט אוניל  SLASHER,extra-large,שחור,11BVEST05XL,490,,נשארו במלאי רק 2,https://yamitysb.co.il/product/%d7%90%d7%a4%d7%95%d7%93%d7%94-oneill-slasher-kite/
קייט סרפינג,קייט סרפינג,אימפקט ווסט קייט אוניל  SLASHER,2x-extra-large,שחור,11BVEST06XXL,490,,קיים במלאי,https://yamitysb.co.il/product/%d7%90%d7%a4%d7%95%d7%93%d7%94-oneill-slasher-kite/
קייט סרפינג,קייט סרפינג,אימפקט ווסט קייט אוניל  SLASHER,3x-extra-large,שחור,11BVEST07XXXL,490,,קיים במלאי,https://yamitysb.co.il/product/%d7%90%d7%a4%d7%95%d7%93%d7%94-oneill-slasher-kite/
קייט סרפינג,קייט סרפינג,אפודת ציפה BOOSTER X,xxl,צהוב,08A41622256B,394,350,אזל,https://yamitysb.co.il/product/booster-x/
קייט סרפינג,קייט סרפינג,אפודת ציפה BOOSTER X,medium,צהוב,08A41622250B,395,350,אזל,https://yamitysb.co.il/product/booster-x/
קייט סרפינג,קייט סרפינג,אפודת ציפה BOOSTER X,large,צהוב,08A41622252B,395,350,אזל,https://yamitysb.co.il/product/booster-x/
קייט סרפינג,קייט סרפינג,אפודת ציפה BOOSTER X,extra-large,צהוב,08A41622254B,394,350,אזל,https://yamitysb.co.il/product/booster-x/
קייט סרפינג,קייט סרפינג,אפודת ציפה אימפקט 50N,extra-large,,06W05L0XL,806,,נשארו במלאי רק 1,https://yamitysb.co.il/product/%d7%90%d7%99%d7%9e%d7%a4%d7%a7%d7%98-%d7%95%d7%a1%d7%98-vector-vest-element-side-zip/
קייט סרפינג,קייט סרפינג,אפודת ציפה אימפקט 50N,large,,06W05L0L,806,,נשארו במלאי רק 2,https://yamitysb.co.il/product/%d7%90%d7%99%d7%9e%d7%a4%d7%a7%d7%98-%d7%95%d7%a1%d7%98-vector-vest-element-side-zip/
קייט סרפינג,קייט סרפינג,אפודת ציפה אימפקט 50N,medium,,06W05L0M,806,,נשארו במלאי רק 2,https://yamitysb.co.il/product/%d7%90%d7%99%d7%9e%d7%a4%d7%a7%d7%98-%d7%95%d7%a1%d7%98-vector-vest-element-side-zip/
גלישת רוח,גלישת רוח,אפודת ציפה אימפקט JR,,,06W05K0J,903,,קיים במלאי,https://yamitysb.co.il/product/%d7%90%d7%a4%d7%95%d7%93%d7%aa-%d7%a6%d7%99%d7%a4%d7%94-%d7%90%d7%99%d7%9e%d7%a4%d7%a7%d7%98-jr/
גלישת רוח,גלישת רוח,אפודת ציפה אימפקט KOMPACT,XL,,06W05K04,802,,אזל,https://yamitysb.co.il/product/%d7%90%d7%a4%d7%95%d7%93%d7%aa-%d7%a6%d7%99%d7%a4%d7%94-%d7%90%d7%99%d7%9e%d7%a4%d7%a7%d7%98-kompact/
גלישת רוח,גלישת רוח,אפודת ציפה אימפקט KOMPACT,S,,06W05K01,802,,נשארו במלאי רק 1,https://yamitysb.co.il/product/%d7%90%d7%a4%d7%95%d7%93%d7%aa-%d7%a6%d7%99%d7%a4%d7%94-%d7%90%d7%99%d7%9e%d7%a4%d7%a7%d7%98-kompact/
גלישת רוח,גלישת רוח,אפודת ציפה אימפקט KOMPACT,M,,06W05K02,802,,אזל,https://yamitysb.co.il/product/%d7%90%d7%a4%d7%95%d7%93%d7%aa-%d7%a6%d7%99%d7%a4%d7%94-%d7%90%d7%99%d7%9e%d7%a4%d7%a7%d7%98-kompact/
