מ.במחסן,מחס,מספר פריט,שם פריט,מספר חליפי,***,כמות במלאי
,0,0330KS40201,אולימפי מושב מרתון חיבור ברגים,40201,,2.00
,0,0330S400,סרפסקי  PI 400 (אנג'ליה),48672/48673/48674,,5.00
,0,0330S420,סרפסקי ילדים MAXI,29485,,1.00
,0,0330S510,סרפסקי 510 PI,OCEAN PI 26020,,5.00
,0,0330S520,סרפסקי M 520 קרבון,OCEAN WWR -337,,1.00
,0,0330S5201,סרפסקי L 520 קרבון,OCEAN (WWR-337),,4.00
,0,0330S520SCS,סרפסקי 520 SCS L,23373,,
,0,0330S5401,סרפסקי L 540 קרבון,OCEAN WWR 337,,5.00
,0,0330S550,סרפסקי ML 550 קרבון,OCEAN(WWR)-337,,
,0,0330S5501,סרפסקי L 550 קרבון,OCEAN WWR 337,,1.00
,0,0330S5503AIR,סרפסקי AIR XXL 550,OCEANAIR42434,,
,0,0330S550SCS,סרפסקי 550 SCS L,OCEAN SCS 3372,,
,0,0330S560,סרפסקי L 560 קרבון,OCEAN WWR - 337,,1.00
,0,0330S560SCS,סרפסקי 560 SCS L,23375-2719,,
,0,0330S600,סרפסקי 600 זוגי קרבון,OCEAN WWR 261,,
,0,0330S8TR7,טורינג קיאק TR XCEED 7,TRN7-28305,,
,0,0330S8TR8,טורינג קיאק TR XCEED N8,TRN8,,
,0,0330S8TR8S,טורינג קיאק S TR XCEED N8,TRN8,,
,0,0330SR20495,אולימפי סנפיר הגה 7 K1,28065,,2.00
,0,0330SR20495M,VIPER סנפיר הגה פלסטיק K1,22752,,
,0,0330SR20536,מכסה קיאק אובלי 44X26,20536,,6.00
,0,0330SR21432,סט ברגים קיאק סרף סקי,,,50.00
,0,0330SR21945,סרפסקי פקק ריקון 510,21945,,3.00
,0,0330SR22101,סרפסקי כיסוי ליחיד NELO,22101,,18.00
,0,0330SR22102,אולימפי כיסוי בד גמיש K1,42067,,9.00
,0,0330SR22111,סרפסקי כיסוי לזוגית NELO,41945,,1.00
,0,0330SR22672,אולימפי מחבר פלסטיק אחורי להגה,22672,,
,0,0330SR22726,אולימפי מסילה 1 למושב ישן NELO,22726,,
,0,0330SR227263,אולימפי מסילה 3 למושב NELO,21492,,3.00
,0,0330SR23234,סרפסקי מכסה גישה להגה 7 NELO,22751,,5.00
,0,0330SR23235,אולימפי מכסה פתח אחורי להגה 5,23235,,
,0,0330SR23236,אולימפי מכסה פתח אחורי להגה 7,"28333, 23236",,
,0,0330SR23272,אולימפי מדבקת הגנה לקיאק ממשוט,23272-27207,,8.00
,0,0330SR23470,סרפסקי מסילות למשענת רגליים,23470,,6.00
,0,0330SR234701,סרפסקי משענת רגליים פלסטיק,26022,,6.00
,0,0330SR23495,ידית לסרפסקי 510,23495,,5.00
,0,0330SR23545,סרפסקי פתח שחרור אוויר,23545,,10.00
,0,0330SR23642,סרפסקי ביילור חדש NELO,41897,,3.00
,0,0330SR24882,סרפסקי שובר גלים,24882,,
,0,0330SR25939,סרפסקי רצועת רגל פלסטיק,25939,,
,0,0330SR25947,סרפסקי מותחן ראצ'ט NELO זוג,25947,,8.00
,0,0330SR26044,סרפסקי בורג ראש גומי,26044,,
,0,0330SR26128,סרפסקי בורג למשענת רגל ראש פלס,26128,,10.00
,0,0330SR27308,סרפסקי ליש מותן מגנטי NELO,42342,,9.00
,0,0330SR27342,סרפסקי מכסה פתח אחורי 510 גומי,27342,,
,0,0330SR27545,סרפסקי הגה קרבון לזוגי NELO,27545,,
,0,0330SR27545A,סרפסקי הגה קרבון ליחיד NELO,23800,,2.00
,0,0330SR27545A1,סרפסקי הגה פלסטיק ל-510,26165,,2.00
,0,0330SR28138,משוט NELO  כף פלסטיק,29710/28138,,13.00
,0,0330SR29248,סרפסקי מחבר נירוסטה אחורי להגה,29248,,3.00
,0,0330SR30010,כיסוי בד למשוט מתפרק NELO,30010,,7.00
,0,0330SR30246,סרפסקי 510 מכסה פתח אחורי מבד,30246,,
,0,0330SR30413,סרפסקי כפפות פוגיז PADDLE LAB,41722,,1.00
